,values
강아지, 포메라니안 불독  시바 허스키 말티즈 테리어 토이스패니얼 토이 스패니얼 토이스페니얼 파피용 크레스티드 그레이하운드 퍼그 페키니즈 하운드 토이푸들 푸들 시추 치와와 요크셔테리어 요크셔 요크셔태리어 태리어 스피츠 말티푸 키스혼드 불도그 비숑 비숑프리제 프리제 차우차우 달마티안 달마시안 스탠더드스탠더드푸들 스텐더드 스텐더드푸들 미니어처푸들 도사견 시바견 아키타견 동경이 불개 삽살개 진돗개 풍산개 샤페이 티베탄테리어 티베탄 스페니얼 티베탄스페니얼 라사 압소 프렌치불도그 프렌치불독 프렌치 테리어스키퍼키 폭스테리어 케리블루 케리블루테리어 테리어베들링턴테리어 스카이테리어 실리햄테리어 실리햄 케언 케언테리어 불테리어 웰시테리어 웰시 코기 아이리시테리어 웨스트하일랜드화이트테리어 웨스턴아일랜드화이트테리어 스태퍼드셔불테리어 소프트코티드휘튼테리어 스태퍼드 댄디딘몬트테리어 미니어처 슈나우저 스카치 오스트레일리안 노리치 에어데일 잭러셀테리어 핏불 랫테리어 서섹스 필드스패니얼 아이리시워터스패니얼 클럼버 아메리칸 코커 코카 코카스페니엘 코카스파니엘 코카스패니얼 코커스페니얼 코커스파니엘 브리트니 웰시스프링어스패니얼 스프링어 스파니엘 잉글리시 스파니얼 아이리시 세터 리트리버 골든 래브라도 체서피크 베이 컬리 코티드 플랫 포인터 와이마라너비즐라 바센지 로디지안 리지백 파라오 폭스하운드 바셋 해리어 비글 닥스훈트 블러드하운드 아프간 스코티시 디어하운드 울프하운드 휘핏 보르조이 살루키 아자와크 세인트 버나드 베르니즈 마운틴 도그 부비에 플랑드르 뉴펀들랜드 사모예드 시베리안 알래스칸 맬러뮤트말라뮤트 그린란드견 쿠바츠 저먼 셰퍼드 코몬도르 그레이트 피레니즈 콜리 캉갈 올드 시프도그 풀리 벨지안 타뷰렌 셰틀랜드 비어디드 브리마르 웰시코기 보더 보더콜리 케르피 캐틀도그 피레니안 마스티프 보스롱 도베르만 보르도 로트바일러 복서 자이언트 스탠더드 핀셔 데인 불마스티프 푸치 치와푸 치와쿠스 포메말 요치 카바푸 코카푸 요푸 라부라도도루 포메치와 말티숑 시푸 마우저 몰키 말티폼 말티츄 말티글 말치 말티핀  몰티즈  강쥐  말티 슈나 우저 퍼피  피숑  츠리 프리  믹스 레터 리버 요키  성견 강아지 강아 아지 시츄강아지   9개월말티즈 말티즈를 말티즈수컷 마르티즈 멍멍이 폼피츠 요크 말라뮤트 발바리 스피치 빠삐용 폼피츠4살 푸들비숑 폼피츠? 꼬똥드툴레아구요 깅아지를 말티즈에요 말티즈인데 스파 니엘 코카스 파니엘 반려 견 테리 코카스파 코카스파니 깅아지 몰티즈죠 잡종 레브 라도 리트 말라뮤트에 레트 잡종견 시베리아 말라뮤트와 말라뮤트를 피숑을 암캉아지 중형견 도견 미친개 장모종 단모종 댕댕이 시고르브자브종 시고르브 자브종 포메라니아 버들강아지 도베 도베르 챠우챠우 누렁이 마르티 하룻강아지 똥개 골드 요크셰테리어 페르시안 말티즌뎅 비숑숫컷 믹스견 이개 티컵 애완견 반려견 대형견  쫑이가 점박이 사냥개 쉬츠는 쉬츠 시츈데 시츈 바둑이 비숑푸 시츄을 쫑이는 늑대개 복순이 마티즈 아롱이 똘똘이 요쿠샤 쫑이를 뽀미가 몽몽히 강앚지 다롱이 프메를 순돌이 포숑을 포숑 말튜중 뽀미와 뽀미의 뽀미를 뽀미 말티즌 쮸쮸가 쮸쮸를  쫑이의 쫑이도 씨츄나 뎅뎅이도 멍뭉스 포메리안 포메라이안 미니핀 밍키는 이츄도 소현경 이츄가 이츄는 코코 강지 시고 자브 시고르 시고르자브 시고르자브종 시고르자 멍키 흰둥이 이츄 들개 말티쥬 포피 맹견 명견 펖피
뒹굴, 뒹글
조금, 쪼끔 쪼금 조끔  조늑 쪼금밖에 쩌금
핥다, 햝아 핣는것 햝아여 햛는곳만 핧으며서 햟으면서 햟아 햟는 햝는 햛는 햝는거에요 핡아요 핡는 핡다 햛아 햛다 햛아서 햛으면서 핣고 햩아요 햩는 햩다 햩고 핧네요또
획획, 홱홱
근데, 근대 군데
이런, 요런
뭔가를, 뭔갈
샵,  숍
채택,  채태귿려
며칠,  몇일
뜯,  뜾
아침,  인침
무엇인가,  뭔가
무엇,  뭔
여러분,  님들
머리를,  머릴
빙글,  뱅글 빙글뱅글
빨간,  뻘겋
핥아,  핣아 핡아
젖히다,  젇히
사춘기,  개춘기 춘기 멍춘기
그런,  구런
온갖,  옷갓
깨다,  꺰니
아이인데,  앤데
초코과자,  몰티져스 페레로로쉐 초코파이
초코과자였어서,  몰티져스엮어서
요새도,  요개도
요새, 요세
거든,  거등
그리고,  글구 글고
제 방,  제방
축,  추욱
이거 왜,  이거왜
의학적인,  전의적인
날짜,  달짜
수컷,  수놈 숫컷
암컷,  암놈
새끼,  자견 새끼 새끼강아지 개새끼
구루,  구루병
램수면,  램수
장애,  장야
사료,  사려
개월,  계월
가디건,  카디건
멍청하다,  멍덩해
급하다,  급학니
견종,  견종이
그대로,  고대로
고구마,  고구마
양파,  양퍄 양파
아파트,  아파트 휴먼시아
숟가락,  숟가락
경기도,  경기도
용인시,  용인시
테스트,  테스트
저기압,  저기압
휴대폰,  휴대폰
요즘,  요즘 요즈음
배변,  배변 똥오줌 강아지똥 용변 배뱐
센치,  센치 센티
쇼파,  쇼파 소파
없다,  옶고 없다 옶다 없는 옶
베개,  베개 베게 배개
온천,  온천 온천천
아기,  아가 아기
영양제,  영양제나
고양이,  고양 고양이  고먐미
여기,  요기 여기
담요,  담뇨 담요
너무,  넘
손,  손도 손
초콜렛,  키세스 촡콧릿릏 페렛로싀 촐콧릿릏 누텔라
신기하다,  신기하
괴로워요,  괴러워요
걸렸는데,  결렸는데
안됐어요,  안됬어요
이런거요,  이렁거요
쫓겨나고,  쫒겨나고
해주세요,  해주세욧
화난다고,  빡쳤다고
알람을 맞추고,  알람을맟추고
플레인 요거트를,  플레인요거트를
그런 강아지 처음봐요,  그런강아짖저음봄
램수면 장애가 있고,  렘수면장애가있고
끄윽끄윽 하는 이유,  끄윽끄윽하는이유
모르겠는데 성격이,  모르겟는데성격이
저희집 강아지 11년됐구요,  저희집강아지11년됬구요
카카오 초콜렛 반 통을 먹었어요,  카카오초콜렛반통을먹엇어요
제가 너무 예뻐하는 마음에 그렇게 생각하는 건가요,  제가너무이뻐하는마음에그렇게생각하는건가요
어떤 사람이 저희 강아지를 보고 못생기고 생긴게 살짝 슈렉 곰탱이 닮았다고 하고,  어떤사람이저희강아지보고못생기고생긴게살짝슈렉곰탱이닮앗다고하고
무엇인가요,  무었인가요
모르겠네요,  모르겟네요
말티즈 인데요,  말티즈인데요
으르렁 거려요,  으르렁거려요 으르렁거려요..
시츄 알려주세요,  시츄알려주세요
비숑 프리제 입니다,  비숑프리제입니다
됐는데 3가구 정도,  됬는데3가구정도
훈련 해야,  흔련해야
제발,  젭알 제밯
층간소음,  층간소금
오토바이,  오토바이
오피스텔,  오피스텔
술래잡기,  술래잡기
스트레스,  스트레스
머리카락,  머리카락
어떡해야,  어떻해야
애견샵,  애견샵
운동장,  운동장
리더쉽,  리더쉽
솔루션,  솔루션
자전거,  자전거
장난감,  장난감
초인종,  초인종
외부인,  외부인
벨소리,  벨소리
블로킹,  블로킹
기지개,  기지개
사이렌,  사이렌
어떻게,  어띃게  어떠넥  어텋게
해결 방법,  해결책
아랫집,  아랫집
화장실,  화장실
현관문,  현관문
대소변,  대소변
할머니,  할머니
어머니,  어머니
남동생,  남동생
유튜브,  유튜브
리더십,  리더십
큰소리,  큰소리
여학생,  여학생
공격성,  공격성
철조망,  철조망
사회화,  사회화
햄스터,  햄스터
이웃집,  이웃집
출퇴근,  출퇴근
하울링,  하울링 하울
인터넷,  인터넷
얘기,  얘기 예기
카밍 시그널,  카밍 카밍시그널 시그널
진드기,  진드기 진득이
됐다,  됐는데 됫는데 됬는데 됐다 되었다 됬다 됫다 됏다
아버지,  아버님 아빠 아범
감염,  간염
동생,  동생 여동생
초코,  초콜릿 촤콜릿 쵸코 초쿄 쇼콜라 촐콜릿릏
엑스레이,  엑스 엑스레이 레이
고개를 휙,  고개를휙
호흡 곤란,  호흡곤란
틱 장애,  틱장애
모르겠어요,  모르겟어요
반대쪽으로,  반댜쪽으로
으르렁 때문에,  으르렁때문에
채택을요,  채태귿려요
켄넬코프병 인가요,  켄넬코프인가요
강아지가 토하고 고개를 흔들며 벽을 보며 짖어요,  강아지가토하고자꾸고개흔들고잘안뒹글엇는데자꾸뒹글고막이상한데다가짓어요
집주인,  집주인
신생아,  신생아
발소리,  발소리
아래층,  아래층
배달원,  배달원
활동력,  활동력
최대한,  최대한
공포증,  공포증
독일어,  독일어
많이,  마니
반갑습니다,  반갑습니다
어린이,  어린아이
외할머니,  외할머니
길고양이,  길고양이
고슴도치,  고슴도치
남자친구,  남자친구
동물병원,  동물병원
신혼부부,  신혼부부
쌌어요,  지렸어요
우리나라,  우리나라
해시태그,  해시태그
플라스틱,  플라스틱
웃음소리,  웃음소리
다운로드,  다운로드
움츠려들고,  움츠려들고
안녕하세요,  안녕하세요 안녕 안녕하 안녕하세 안녕하십니까
엘리베이터,  엘리베이터
인스타그램,  인스타그램
알고 싶어요,  알고싶어요
빨간색,  빨간색
좋아서,  좋아서
앵무새,  앵무새
청소기,  청소기
뼈다귀,  뼈다귀  뼉다구
훈련소,  훈련소
생김새,  생김새
경계심,  경계심
유치원,  유치원
뒷다리,  뒷다리
표현법,  표현법
호기심,  호기심
피부병,  피부병  피부뵹
생식기,  생식기
보호자,  보호자
대부분,  대부분
스펀지,  스펀지
핸드폰,  핸드폰 스마트폰
기억력,  기억력
보호소,  보호소
베란다,  베란다
아이들,  아이들
우울증,  우울증
일광욕,  일광욕
무지개,  무지개
궁금증,  궁금증
겁쟁이,  겁쟁이
비행기,  비행기
항문,  똥구멍 똥꾸멍 똥0꼬 똥고
하얀색,  하얀색
놀이터,  놀이터
코로나,  코로나
집,  하우스
침입자,  침입자
신문지,  신문지
엉덩이,  엉덩이 덩이 궁둥이 궁댕이 엉둥이  엉덩짝
차이점,  차이점
박치기,  박치기
떠돌이,  떠돌이
구성원,  구성원
발바닥,  발바닥
신경전,  신경전
핥고,  핡고  핱고 햟고 햛고 핢고 햝구
낑낑,  끙응 낑깅 깅낑
많아,  마나
관심,  관심
질투,  질투
모래,  모래
앞발,  앞발
계단,  계단
침대,  침대
밖을,  잒을
귀신,  귀신
우산,  우산
성장,  성장
도망,  도망
저녁,  저녁
편안,  편안
남자,  남자
노인,  노인
탈수,  탈수
공간,  공간
오전,  오전
시점,  시점
누나,  누나
동네,  동네
언니,  언니
계획,  계획
봉사,  봉사
활동,  활동
관찰,  관찰
품종,  품종
출근,  출근
상담,  상담
방,  안방
고민,  고민
투표,  투표
군대,  군대
영상,  영상
외출,  외출
무료,  무료
배신,  배신
화면,  화면
새벽,  새벽
외부,  외부
부탁,  부탁
사실,  사실
구분,  구분
마리,  마리
교배,  교배
장소,  장소
불편,  불편
입양,  입양
덩치,  덩치
공원,  공원
호텔,  호텔
과산화수소,  과산화수소
없고요,  옶고요...
옆에 붙어 눕고,  옆에붙어늡고
없어요,  개옶어요....  얺네요 옶어요
할아버지,  할아버지
신부전증,  신부전증
또띠아,  또띠아 토르티야
호텔리어,  호텔리어
빙글빙글,  빙글빙글
유통기한,  유통기한
스케일링,  스케일링
이쑤시개,  이쑤시개
하나가,  하낟가
헥헥 거리고,  헥헥거리고
짧게 나가 보기도,  짧게나가보기도 짪게나가보기도
버티고,  뻐팅기고
애완동물,  애완동물
있어요,  잏어요  있어욬
강아지를 명절때마다 같이 데리고 가는데 차를 무서워 하는건지 차만타면 가만히 앉거나 누워있지를 못하구요 멀미하면 토하기도 해서 제가 안고 가기가 너무 힘들어서 케이지를 사서 넣어봤는데 너무 무서워해서 제대로 넣어보지도 못하고 놀라고 스트레스를 받았는지 갑자기 똥을 계속 싸는거에요 어떡하죠 케이지에 넣어 놓으면 멀미도 잘 안한다는데 저희집 강아지는 무서운가봐요 케이지에 넣고 다니는게 나을까요 아니면 그냥 안고 타는게 나을까요,  강아지를명절때마다같이데리고가는데차를무서워하는건지차만타면가만히앉거나누워있지를못하구요멀미하면토하기도해서제가안고가기가너무힘들어서케이지를사서넣어봤는데너무무서워해서제대로넣어보지도못하고놀라고스트레스를밭았는지갑자기똥을계속싸는거에요어떡하죠케이지에넣어놓면멀미도잘안한다는데저희집강아지는무서운가봐요케이지에넣고다니는게나을까요아니면그냥안고타는게나을까요
들어가고 싶은데,  들어가고싳은데
헥헥거리는데,  헥헥거리는데......
강아지마다,  폼피츠인데강아지마다
강아지의,  피숑의
강아지가,  애견가
어슬렁 대더니,  어슬렁대더니
헥헥거리는 이유,  훽훡거리는이유
헥헥 거려요,  헥헥거려요.. 헥헥거려요
아픈거 같아요,  아픈거깉아요..
못했는데,  못했눈뎁..
미치겠어요,  미티겠어요..
낑낑거려요 어떡하죠,  낑끼거려요..어떻하죠
마운팅,  붕가붕가 성행위 마운팅을 마운팅에 마운팅과 상행위
핥아요,  햛아요.  핢아요 핦아요 핱아요 핧아용  핡타요
가눠요,  가눠요..
꼭,  꼮꼮꼮꼮꼮
3살 된 수컷 강아지,  3된수컷강아지
핥거나,  햛거나  핡거나 핣거나
관음증,  관음죽
해야 하나요,  해야하나욮
어떡해요,  어떵해요??
다리를 다쳤는데,  다리를다첬는대
감기 걸렸었는데,  감기걸렸썼는데
핥아 먹었어요,  핣아먹었어요..
초콜렛을,  키세스를
너무 심한 것 같아요,  넘심한거같애여
너무하니 안쓰럽다 하고,  너무하니안습럽다하구
분양 받았습니다. 강아지 이구요,  분양받았습니다폼피츠이구요
낑낑 거려요,  낑깅거려요
2개월 됐는데,  2개월됬는데
건가요 어떻게,  건가요??어떻게
강아지 같은걸,  보턴트불믹스견같은걸
바쁘고,  바쁘고욬
강아지가 있어요 이제,  반려견시츄가있어요이제
우리 강아지가 죽었어요,  우리강아지밍키가죽었어요..........
강아지 입니다,  비숑이구여
질문 있습니다. 강아지를,  질문있습니다비숑프리제를
싸요,  눠요.. 눠요...
강아지를,  폼피츠를
도움닿기,  도움닫기
돌맹이,  돌멩이
없어서,  앖어서
부탁 드립니다,  붸탹드륍눼돠
들어오지는 않겠죠?,  들어오진않겠죶?
견과류,  마카다미아
쌌었거든요,  지렸었거든요.
조그만,  쪼그마한
2개월,  2개월령 2개웢  2개웑
으르렁 거리는,  으르렁하는
좋을까요?,  젛을까요?
문 긁으면서,  문긁으몀서
오열 했어요 오늘은,  폭풍오열햤어요.오늘은
강아진데,  말티즌데
강아지는,  맬러뮤트는
강아지고,  말티숑이구
계속 짖어요,  꼐속짖어요
가르쳐 주세요,  갈쳐주쎼예
걱정 되네요,  걱정이되내욤
털 안 빠지는 것도,  털안뻐지는거뚜
바깥 소음 때문에,  바깟소음때문에
금방 죽는다는데,  긍방죽는다는데
나빠요,  않좋아요.ㅠㅜ
싶어요 그리고,  싶어요..그리구
있을까요? 훈련방법,  있을까요????훈련방벙
없을까요? 너무 걱정돼서,  없으까요?너뭄나걱쩡이야서
집에서는 화날때나 앙탈부릴때 빼고는 잘 안짖는데,  집에선지승질날때나앙탈뷰릴때빼곤잘안짖는데
검은색,  검은색 검정색 검정 검은 거멓고 블랙
봄 바람,  봄바람
이쁜,  프리티 이쁨 이쁜 예쁜 예쁨
미쳤어요,  미첬어요 미쳣어요 미첫어요
어떡하지,  어떻하지 어떡하지
프랑스,  쁘띠프랑스
BGM,  브금 북음 부금
식분증,  식분 식분증 분증
생리,  생리 월경
울다,  우는 울음 울면
달걀,  계란 달걀
뼈,  뼈
시켰는데,  시컀는데
효과를 알려주세요,  효과좀옇
아니겠죠,  아니겧죠
강아지 집,  강아지집 개집
간식,  까까 간식
주시면,  주심
티비,  티브이 티비 텔레비전
공포,  공포
추천해주세요,  추천좀요 추천죰요
새집으로,  새짖으로
마룻,  마룻 마룻바닥
제가 2개월 된 강아지를 샀는데 원래 낑낑거리나요,  제가2개월됟강아지를삿는데원래낑낑거리나여
그리고 눈 한쪽이 흐리멍텅해요,  그리고눈한쪽이초롱처렁안하고조금뿌얗다고해야되나좀흐리멍텅해요
노즈 워크,  노즈워크 노즈 노즈워쿠
빨래,  빨레 빨래
해지,  해지 헤지
감사,  감사 감사링 감사합니다
시골 집,  시골집
방법이 없을까요,  방법옶을까요
찾아보니깐,  첮아보니깐
묶어놨는데,  묶엇놧는데
낑낑 울어요,  깅깅대고울어요
깨물다,  깨묾
짖는 거에요,  짖는거에옄
강아지 인데요,  말티즌데요
고개,  고개
척추,  척추
병원,  병원
애기,  애가
내공,  내공 내공쪼금
엄마,  엄마 어미
산책,  산책 산챇해요
낯선사람,  아저씨 아줌마 택배아저씨
얌전,  얌전 얌전하다
놀란,  놀라 놀란
목,  목이
예전에,  예전 예전에
저녁 밥,  저녁밥
동거동락,  동고동락 동거동락
이쁘다,  이뻐하는
팔 다리,  팔다리
양치질,  양치질 양치
플래시,  플레쉬 플래시
하얀,  하얀 허연 하얗 하얗다 흰색
그 때,  그때
나중에,  나중에 나중
헥헥,  헥헥거림 헥헥거리거나 헷갈려요 헥헥헥
켁켁,  켁켁 캑캑 캑캑댑니다 캑캑거려요
눈곱,  눈곱 눈꼽
거북이,  거북 거북이
페이스북,  페이스북 페북
헤드셋,  해드셋 헤드셋 해드샛
외로움,  외롬 외로움 외로운 외롭다
이용,  이용 이용한 이용중인 이용중
물다,  물음 물어 물다 뮬땨
마데카솔,  마데카솔 데카
좋아요,  좋아욥
될까요,  돨까요 될까요
부엌,  부엌 부억
줘버렸는데 ,  줘버럈는데 줘버럈어요저는
강아지가 이불하고 베개를 핥아요,  강아지가이불하고베개를햟아요
주변에,  주뱐에 주변에
급해요,  긎해요 급한 급하뮤
했는데,  햇는데 핬는데 핫는데  핶는데  했는덷
긁다,  긁는 긇거요 긇는 긇거 글거 긁거 긁어 긁다
핥아 먹었는데 괜찮은건가요,  햛아먹엇어요갠찮은가요
케이지,  케이즈 케이지
어떡하죠,  어떻히죠
올려봤습니다,  올려봤숩닼
깨갱,  꺄갱하고 깨겡 께겡 께갱 꺠꺵 꺠갱
잘 먹지도 않고,  잘먹지두않쿠
강아지가 엉덩이를 바닥에 긁는 이유는,  강아지가엉덩이릏바닥에긁은이유는
다 핥아 먹었더라구요,  다핧아먹엇더라구요
공갈 젖꼭지,  공갈잦꼭지
한국토종개라고 하네요,  한국토종개라네욬
빠른 답변 부탁드립니다,  빠른답뵨부탁드려요
받았습니다 첫째 비숑이랑,  받았습니다첫째비숑이랑
말티즈 수컷과 몇 번 마주쳤는데,  말티즈수컷과몇번마주첫는데
펫샵, 펫숍  펫샾에
튕겨요, 튕켜요
슬개골, 슴개골 슬관절
동물, 애니멀
있는지, 있느닞
찢어야, 찣어야
염색약, 염색햑
착해요, 찯해요
귀청소, 귀쳥소
따듯, 개따숩
몇가지, 볓가지
갑갑한, 끕끕한
핥네요, 핡네요
묶으면, 뮦으면
언제쯤, 언쨰쯤
핥아도, 핡아도
핥, 핡 햛 핢 핱 햟
무지하게, 무쟈게
핥고요, 햛고요
저희집, 저힂비 저희딪
핥는데, 핡는데 핣는데
핥던데, 핡던데
핥아서, 핱아서 핡타서 핡아서
핥길래, 핣길레 핧길래 핡길래
핥은거, 핣은거
못핥게, 못핱게
왔을때, 왓읋떄
합니다, 핮니다
핥더니, 햟더니 햛더니
할퀴고, 핡히고 핡퀴고
받겠습, 받겟슴
주세요, 주세용
평소에, 퍙소에
뿌옇게, 뿌옆게  뿌혈게
펫샵에서, 펫샾서
멈춰, 멈쳐.
봤고요, 밧고요
봤어요, 밧어요
겠어요, 갰어요
핥나요, 햛나요
그런데, 글언덷
되는데, 돼는뎁
충성심, 츙성심
며칠간, 몆일간
였는지, 옇는지
사료통, 샤료통
끝까지, 꿑까지
겠다고, 갰다고
뺏었나, 뻇었나
싶은데, 시픔뎅
합쳐진, 핮쳐진
봤, 밨
핥으면, 핣으면 햛으면  핡으면  햫으면
분리, 불리
핥은곳, 햟은곳
키웁니다, 키웁닏
핥는건, 햟는건  핡는건
핥으니, 핡으니
느낌을, 늣낌을
젖병을, 젗병을
했다면, 햤다면
핥기도, 핣기도
핥냐고, 핧냐고
같네요, 같네욯
잡니다, 잡니닼
느낌이, 늣낌이
한번씩, 한번씪
때문에, 떔시롱 떔에
쎄네요, 쎼네요
맺힌건, 맻힌건
장애인, 장애우 장애자
목덜미, 목덞미
주워와, 줓어와
그랬어, 그랳어
됩니다, 됩니닼
서열을, 서열읓
핥을때, 핡을때
항문낭, 똥꼬낭
돼요, 돼욥.
놀아요, 놀아욬
열심히, 열띰히
뜯어서, 띁어서
있다는, 읶다는
복잡한, 봅잡한
검색해, 검샏해
눕혀서, 눞여서
겠죠, 갰죠
있는데, 잏는데
같아요, 같아욯
먹으면, 머긍면
어쨌든, 어쩃든
해놓죠, 해놓죸
한알씩, 한알씪
이따가, 잏다가
젖히는, 젗히는
해봤자, 해밧자
똑같이, 똒같이
좋을듯, 졿을듯
맞아요, 밎아요
귀찮게, 귀칞게
똑똑한, 똑띡한
불안장애,  불안
분은,  뷴은
봐주,  봐듀
트라우마,  트리우마
개과,  갯과
극혐,  극협
받아,  벋아
핥는,  힕는 핣는
탈골,  탈고
죽을,  쥭을
세게,  쌔게
새콤,  세콤
똥,  끙아 떵을
혹시,  혿시
냄새,  남새
덥다,  딥다
옆에,  옢에
흑흑,  흣흣 흙흙
방법,  방뻡
개껌,  개껨
제외,  재외
번역,  변역
계속,  꼐쇽 계솓
깎고,  깤고
추천,  춪현
핥게,  핡게 핧게
정말,  덩말
몸에,  뭄애
훈련,  훈령
무는,  뮤는
아니,  야니
어서,  어셔
핥지,  햛지 햟지
똥에,  떵에
깽깽,  꺵꺵
같아,  갇아
할짝,  핥짝 핥작
젖고,  젇고
깨닫다,  꺠달
핥기는,  핧긴
외관,  왜관
생때,  생떼
복통,  복토
어제,  어젯
쯤에,  쭘에
자기,  쟈긔
붓고,  븃고 붑고
요?,  욤?
텄죠,  텻죠
넙죽,  넢죽
뺐고,  뻇고
붓기,  붑기
왼쪽,  왽쪽
사랑,  시랑
볼때,  봏때
빡빡,  뺙뺙
묻은,  뮫은
앞니,  앛니
똥이,  떵이
씻을,  싯을
초등학생,  초딩 초뒹
찢고,  찣고
부를,  뷰를
충혈,  충렬
세트,  셰트
해야,  햬야
경계,  경개
꿈을,  뀸울
데요,  데욬
똥은,  떵은
해요,  해욬
없고,  잆고
있는,  있늦 있늕
많은,  맣은
답변,  답뵴
제보,  재보
